hash,file,mode,time,rwts,rwps
compare-5-modern-ptr-refactor,./programs/bitonic_sort_lam.hvmc,intr-singl,16.753s,791_019_454,47.217 M
compare-5-modern-ptr-refactor,./programs/bitonic_sort_lam.hvmc,comp-singl,13.948s,791_019_454,56.716 M
compare-5-modern-ptr-refactor,./programs/c2.hvmc,intr-multi,818.038µs,23,inf M
compare-5-modern-ptr-refactor,./programs/c2.hvmc,comp-multi,902.807µs,23,inf M
compare-5-modern-ptr-refactor,./programs/c2.hvmc,intr-singl,5.162µs,23,inf M
compare-5-modern-ptr-refactor,./programs/c2.hvmc,comp-singl,5.630µs,23,inf M
compare-5-modern-ptr-refactor,./programs/sum_tail.hvmc,intr-multi,2.210s,100_000_010,45.249 M
compare-5-modern-ptr-refactor,./programs/sum_tail.hvmc,intr-singl,2.482s,100_000_010,40.306 M
compare-5-modern-ptr-refactor,./programs/sum_tail.hvmc,comp-singl,2.295s,100_000_010,43.573 M
compare-5-modern-ptr-refactor,./programs/merge_sort.hvmc,intr-multi,3.981s,480_247_775,120.635 M
compare-5-modern-ptr-refactor,./programs/merge_sort.hvmc,comp-multi,3.513s,480_247_775,136.706 M
compare-5-modern-ptr-refactor,./programs/merge_sort.hvmc,intr-singl,11.788s,480_247_775,40.740 M
compare-5-modern-ptr-refactor,./programs/merge_sort.hvmc,comp-singl,9.977s,480_247_775,48.135 M
compare-5-modern-ptr-refactor,./programs/sum_rec.hvmc,intr-multi,7.459s,1_140_850_679,152.950 M
compare-5-modern-ptr-refactor,./programs/sum_rec.hvmc,intr-singl,27.789s,1_140_850_679,41.056 M
compare-5-modern-ptr-refactor,./programs/sum_rec.hvmc,comp-singl,24.826s,1_140_850_679,45.956 M
compare-5-modern-ptr-refactor,./programs/boom.hvmc,intr-multi,2.950s,134_217_908,45.513 M
compare-5-modern-ptr-refactor,./programs/boom.hvmc,intr-singl,4.604s,134_217_908,29.152 M
compare-5-modern-ptr-refactor,./programs/boom.hvmc,comp-singl,4.521s,134_217_908,29.694 M
compare-5-modern-ptr-refactor,./programs/sum_tree.hvmc,intr-multi,4.436s,738_197_477,166.448 M
compare-5-modern-ptr-refactor,./programs/sum_tree.hvmc,comp-multi,3.803s,738_197_477,194.109 M
compare-5-modern-ptr-refactor,./programs/sum_tree.hvmc,intr-singl,15.960s,738_197_477,46.253 M
compare-5-modern-ptr-refactor,./programs/sum_tree.hvmc,comp-singl,13.806s,738_197_477,53.473 M
